Date,return,zscore
2015-11-04,0.11173506172895453,3.146228791588874
2016-06-22,-0.10450341756812143,-3.31042930655096
2016-09-01,-0.05301630375559707,-3.134795210612265
2018-02-08,-0.0862898619278617,-3.2729614825938964
2018-06-06,0.09744783937389845,3.211060429933433
2018-08-02,0.1618801307070199,3.7178152839674077
2018-09-28,-0.13901536785757185,-3.00688972097798
2019-07-25,-0.13613708110635003,-3.846445808179722
2019-09-24,-0.0747005313345035,-3.046285035871216
2019-10-24,0.1766923235319593,3.8157100314426655
2020-02-03,0.19894859376394902,3.168627313085204
2021-03-09,0.1964120760817838,3.3706014788665497
2021-10-25,0.12661598362581983,3.8561695454892653
2024-01-25,-0.12125293136804816,-3.596136621569925
2024-04-24,0.12061109407252757,3.0916587111553233
2024-10-24,0.21919035070290427,3.8708708936797556
2025-06-05,-0.14259893789082123,-3.171797038195729
