,Price_FC,Lower,Upper
2025-07-31,319.43170559978535,301.3558933435883,344.44253744174654
2025-08-01,319.82388355540945,276.2348897005295,370.7333980712332
2025-08-04,320.21654300221365,251.0700717594714,404.52350889114683
2025-08-05,320.60968453134217,228.19775228844054,444.72350410593083
2025-08-06,321.0033087346651,214.14402079190936,477.8971907588956
2025-08-07,321.3974162047791,200.18192557352455,521.4889561541964
2025-08-08,321.7920075350085,185.19322137613165,575.476560505601
2025-08-11,322.187083319406,171.88380617127456,620.8358869330024
2025-08-12,322.58264415275363,160.47823629120694,663.7294553517103
2025-08-13,322.9786906305637,142.0875423489344,713.4420311093551
2025-08-14,323.3752233490796,132.0145280423063,781.1383375082897
2025-08-15,323.77224290527676,122.52490736563313,842.6661322221255
2025-08-18,324.1697498968636,114.80375953348756,905.8428436694894
2025-08-19,324.5677449222823,107.56927185911164,977.8974408403429
2025-08-20,324.96622858070987,100.04758812256148,1086.7137662433656
2025-08-21,325.3652014720588,93.7813416678598,1172.4105658839003
2025-08-22,325.76466419697823,85.23982378604664,1270.3691165977832
2025-08-25,326.16461735685465,78.46071542848387,1355.3924545633558
2025-08-26,326.565061553813,72.11281109097332,1463.2909233582293
2025-08-27,326.96599739071735,65.97669901703647,1575.0110330336745
2025-08-28,327.36742547117206,60.247599941523404,1683.6208075721593
2025-08-29,327.7693463995225,54.69448926409124,1824.2925646005226
2025-09-01,328.1717607808559,51.10800220768812,1938.7529932926159
2025-09-02,328.5746692210026,48.376173023520735,2083.979395612386
2025-09-03,328.97807232653656,45.166596748635364,2231.59578984239
2025-09-04,329.38197070477656,41.91925488589782,2404.091494217266
2025-09-05,329.7863649637869,39.03364326978981,2593.352356117587
2025-09-08,330.19125571237856,36.2296834396449,2807.4999723706596
2025-09-09,330.5966435601099,33.735727006833265,2998.1291463184784
2025-09-10,331.0025291172876,31.636277775650704,3222.012290927606
2025-09-11,331.4089129949678,28.06019855310829,3485.3966863972537
2025-09-12,331.8157958049567,26.076032260865514,3748.9277346927443
2025-09-15,332.22317815981165,24.230184653430197,4043.0015878206514
2025-09-16,332.6310606728422,22.61063127524001,4358.451637506505
2025-09-17,333.03944395811067,21.20096257153539,4805.172099461697
2025-09-18,333.4483286304335,19.682925127159052,5113.04578832232
2025-09-19,333.8577153053818,18.269726035717063,5554.60445717523
2025-09-22,334.26760459928255,16.908657422433514,5978.276986516
2025-09-23,334.67799712921936,15.81865207428258,6445.075803976819
2025-09-24,335.08889351303344,14.698564743693366,6983.210064908161
2025-09-25,335.5002943693246,13.695127856588332,7697.43266772154
2025-09-26,335.91220031745206,12.507344965737273,8279.23381191278
2025-09-29,336.32461197753554,11.610939304218645,8848.583761026834
2025-09-30,336.737529970456,10.583371414810799,9408.565885510294
2025-10-01,337.1509549178568,9.720276570598736,10073.868078846179
2025-10-02,337.56488744214437,8.901004581691236,10920.405610010013
2025-10-03,337.97932816648944,8.387821198861884,11672.986462882545
2025-10-06,338.3942777148277,7.697505119530951,12575.74814239632
2025-10-07,338.8097367118609,7.123789720307998,13603.396958422729
2025-10-08,339.2257057830579,6.521215443870294,14664.844629138273
2025-10-09,339.6421855546552,6.064780794258271,15835.464759671644
2025-10-10,340.0591766536585,5.5105720008721075,16754.96877871649
2025-10-13,340.47667970784295,5.072792905175952,17934.49988771894
2025-10-14,340.89469534575466,4.716828726802395,19284.270472118453
2025-10-15,341.3132241967113,4.326348202922187,20662.20622858024
2025-10-16,341.7322668908033,3.9678261164952677,22210.21753215167
2025-10-17,342.15182405889465,3.6196233320811277,24058.216158412895
2025-10-20,342.5718963326238,3.3643912864393566,25854.325104387142
2025-10-21,342.9924843444047,3.1139192312062653,27968.833099922722
2025-10-22,343.41358872742785,2.848954419783726,30158.445190269984
2025-10-23,343.835210115661,2.6148388765923762,32624.96764754838
2025-10-24,344.2573491438504,2.4303496428342464,35146.3344083907
2025-10-27,344.6800064475213,2.2738389663170113,37877.10103064581
